State/UT,2026,2036,2046,2056
India,193,193,193,192
Andhra Pradesh,14,13,13,12
Arunachal Pradesh,1,1,1,1
Assam,10,10,10,10
Bihar,29,30,31,32
Chhattisgarh,9,9,9,10
Goa,1,1,1,1
Gujarat,18,19,19,19
Haryana,9,9,10,10
Himachal Pradesh,3,3,3,3
Jharkhand,11,12,12,12
Karnataka,17,17,16,16
Kerala,10,10,9,9
Lakshadweep,0,0,0,0
Madhya Pradesh,21,21,22,22
Maharashtra,28,28,28,27
Manipur,2,2,1,1
Meghalaya,2,2,2,2
Mizoram,1,1,1,1
Nagaland,1,1,1,1
Odisha,13,12,12,12
Punjab,9,9,9,8
Rajasthan,20,20,20,21
Sikkim,0,0,0,0
Tamil Nadu,19,18,17,16
Telangana,11,10,10,10
Tripura,2,2,2,2
Uttar Pradesh,47,47,47,47
Uttarakhand,4,4,4,4
West Bengal,23,22,22,21
Andaman & Nicobar Islands,0,0,0,0
Chandigarh,1,1,1,1
Dadra & Nagar Haveli,1,1,1,2
Daman & Diu,0,1,2,3
Delhi (NCT),7,8,8,9
Jammu & Kashmir,5,5,5,5
Ladakh,0,0,0,0
Puducherry,1,1,1,1
