State/UT,2026,2036,2046,2056
India,123,123,122,122
Andhra Pradesh,17,17,16,15
Arunachal Pradesh,2,2,2,2
Assam,14,14,14,14
Bihar,30,30,31,32
Chhattisgarh,12,12,13,13
Goa,2,2,2,2
Gujarat,21,21,21,22
Haryana,12,13,13,13
Himachal Pradesh,5,5,5,5
Jharkhand,15,15,15,15
Karnataka,20,20,19,19
Kerala,14,13,13,12
Lakshadweep,0,0,0,0
Madhya Pradesh,23,24,24,24
Maharashtra,29,29,29,28
Manipur,3,3,3,3
Meghalaya,3,3,3,3
Mizoram,2,2,2,2
Nagaland,3,2,3,2
Odisha,16,16,15,15
Punjab,12,12,12,12
Rajasthan,23,23,23,23
Sikkim,1,1,1,1
Tamil Nadu,22,21,20,19
Telangana,14,14,13,13
Tripura,4,4,4,4
Uttar Pradesh,43,42,43,43
Uttarakhand,7,7,7,7
West Bengal,25,24,24,23
Andaman & Nicobar Islands,1,1,1,1
Chandigarh,2,2,2,2
Dadra & Nagar Haveli,1,2,3,4
Daman & Diu,1,2,3,5
Delhi (NCT),10,11,11,12
Jammu & Kashmir,8,8,7,7
Ladakh,1,1,1,1
Puducherry,2,2,3,3
