State/UT,2026,2036,2046,2056
India,69,69,69,68
Andhra Pradesh,19,18,18,17
Arunachal Pradesh,5,5,5,5
Assam,16,16,16,16
Bihar,27,27,28,28
Chhattisgarh,15,15,15,15
Goa,5,5,4,4
Gujarat,21,22,22,22
Haryana,15,15,15,15
Himachal Pradesh,9,8,8,8
Jharkhand,17,17,17,17
Karnataka,21,20,20,20
Kerala,16,16,15,15
Lakshadweep,1,1,1,1
Madhya Pradesh,23,23,23,23
Maharashtra,27,26,26,26
Manipur,6,6,6,6
Meghalaya,6,6,6,6
Mizoram,4,4,4,4
Nagaland,5,5,5,5
Odisha,18,18,17,17
Punjab,15,15,15,14
Rajasthan,22,22,22,23
Sikkim,3,3,3,3
Tamil Nadu,22,21,21,20
Telangana,16,16,16,15
Tripura,7,7,7,7
Uttar Pradesh,34,34,34,34
Uttarakhand,10,10,10,10
West Bengal,24,24,23,23
Andaman & Nicobar Islands,3,3,3,2
Chandigarh,4,4,4,4
Dadra & Nagar Haveli,4,5,6,7
Daman & Diu,3,5,7,9
Delhi (NCT),13,14,14,15
Jammu & Kashmir,11,11,11,11
Ladakh,2,2,2,2
Puducherry,5,5,5,6
